Date,Open,High,Low,Close,Volume
2008-09-30,504.47,513.56,496.64,513.1,211734232
2008-10-01,515.35,515.89,505.32,510.12,167901468
2008-10-02,509.49,515.78,495.02,497.42,187084880
2008-10-03,499.41,509.56,493.75,507.28,160648624
2008-10-06,505.84,505.84,462.96,470.38,233295462
2008-10-07,476.04,479.87,463.42,464,297035184
2008-10-08,462.95,464.09,424.9,437.16,290596477
2008-10-09,440.13,448.78,422,427.21,198877525
2008-10-10,412.73,412.73,379.81,398.87,292166656
2008-10-13,399.97,443.67,399.97,443.65,225375027
2008-10-14,445.68,471.13,445.57,455.45,214348413
2008-10-15,454.49,454.49,421.38,426.9,196306170
2008-10-16,425.26,427.71,398.23,406.17,220921515
2008-10-17,406.68,423.78,402.97,418.93,236506044
2008-10-20,419.25,431.78,417.63,424.08,149599118
2008-10-21,427.8,429.84,417.13,420.45,141333265
2008-10-22,416.61,416.61,399.54,401.71,134621810
2008-10-23,400.86,401.49,383.43,395.53,144533083
2008-10-24,392.68,392.69,353.65,375.4,186586192
2008-10-27,374.63,384.53,356.85,374.52,255432181
2008-10-28,374.2,410.86,373.73,410.86,462246935
2008-10-29,420.04,420.04,396.84,414.21,330350091
2008-10-30,417.15,434.27,416.66,421.14,241711787
2008-10-31,419.74,437.3,414.9,431.88,215654650
2008-11-03,434.41,439.76,428.4,432.75,136735937
2008-11-04,433.38,456.16,430.68,454.46,153892056
2008-11-05,453.28,453.28,442.99,444.34,130881707
2008-11-06,442.19,442.31,413.77,415.62,147078758
2008-11-07,417.34,431.48,411.1,425.35,111121545
2008-11-10,430.88,441.69,430.28,432.32,90374394
2008-11-11,428.52,428.72,409.95,410.98,105474867
2008-11-12,415.08,419.89,393.8,398.47,111395954
2008-11-13,396.58,405.96,392.14,401.44,100169000
2008-11-14,403.27,418.77,402.85,405.88,102100366
2008-11-17,404.71,407.52,388.86,392.49,90852813
2008-11-18,393.45,396.12,383.61,394.11,90380919
2008-11-19,394.21,394.38,374.63,375.48,111048784
2008-11-20,371.82,372.06,355.07,362.94,120738213
2008-11-21,363.28,369.22,348.46,356.6,123210923
2008-11-24,358.7,391.36,358.26,389.56,130567111
2008-11-25,387.66,398.44,380.98,387.96,142044467
2008-11-26,383.77,393.27,377.95,388.91,95787338
2008-11-27,392.5,399.05,391.97,398.35,76523594
2008-11-28,398.83,401.24,390.14,397.61,92068204
2008-12-01,396.44,396.44,373.42,375.27,90764032
2008-12-02,371.15,388.86,367.98,385.9,100684481
2008-12-03,383.84,390.96,374.18,388.44,90751983
2008-12-04,385.87,401.61,383.56,388.7,102627032
2008-12-05,385.22,385.76,369.74,373.53,102587620
2008-12-08,375.72,404.42,375.72,400.13,118265617
2008-12-09,395.66,409.6,392.48,404.67,105265072
2008-12-10,407.25,409.35,402.08,407.12,85141914
2008-12-11,405.26,407.87,399.81,404.17,86239391
2008-12-12,398.01,398.56,385.35,396.13,95095455
2008-12-15,401.27,404.83,393.73,395.67,68141090
2008-12-16,396.78,403.02,395.56,401.34,84794539
2008-12-17,405.2,405.21,394.65,400.22,100349258
2008-12-18,401.69,406.19,400.97,404.38,88529510
2008-12-19,400.29,406.24,396.39,398.96,214708247
2008-12-22,398.27,399.82,389.92,395.13,84687383
2008-12-23,394.96,401.86,394.22,394.94,58286723
2008-12-29,397.44,404.82,397.4,402.63,56001269
2008-12-30,407.12,411.59,407.12,411.51
2009-01-02,414.3,424.9,413.66,424.9,53109117
2009-01-05,428.12,430.02,423,426.13,71820902
2009-01-06,426.85,435.57,424.04,429.38,77666970
2009-01-07,427.72,427.72,420.11,421.71,73809357
2009-01-08,418.05,418.95,411.48,416.12,82200496
2009-01-09,417.27,420.04,405.47,408.5,84618883
2009-01-12,406.07,408.42,401.87,402.6,65125501
2009-01-13,400.88,400.88,392.32,395.83,83325451
2009-01-14,398.3,398.3,375.56,378.21,111334480
2009-01-15,379.37,380.06,368.19,371.39,95127950
2009-01-16,376.53,382.21,373.23,373.61,83881882
2009-01-19,377.72,380.7,364.15,369.24,62786082
2009-01-20,368.34,374.43,361.95,362.84,79071875
2009-01-21,361.31,368.32,354.82,364.35,86273001
2009-01-22,368.55,372.9,358.93,360.66,73876907
2009-01-23,359.3,360.63,348.5,356.84,82727014
2009-01-26,355.78,372.13,354.36,368.82,77503824
2009-01-27,369.03,371.43,364.3,368.85,68913783
2009-01-28,372.15,386.31,372.15,385.25,95193600
2009-01-29,382.88,383.6,375.09,377.92,73295110
2009-01-30,376.7,380.09,369.67,371.65,76384614
2009-02-02,367.59,368.42,360.37,365.56,56507102
2009-02-03,367.71,374.56,361.91,373.89,68637884
2009-02-04,375.02,386.79,373.74,383.14,81874415
2009-02-05,377.95,385.1,374.97,384.52,75654400
2009-02-06,386.14,396.18,384.39,395.39,92751400
2009-02-09,392.48,399.44,391.94,397.82,78630354
2009-02-10,394.35,396.01,384.57,384.57,81981230
2009-02-11,383.09,386.63,381.07,386.22,61361021
2009-02-12,384.9,384.9,373.63,376.52,71691810
2009-02-13,380.26,384.8,375.99,377.29,60147649
2009-02-16,375,377.81,373.14,373.63,45793129
2009-02-17,369.91,369.98,359.53,361,78335471
2009-02-18,362.32,363.68,353.84,359.73,69425681
2009-02-19,360.86,365.33,358.68,360.65,59600543
2009-02-20,356.33,356.69,344.18,344.18,98722156
2009-02-23,348.05,351.53,335.83,337.32,66750788
2009-02-24,335.5,336.22,327,333.46,79306962
2009-02-25,335.09,340.29,325.52,329.8,82091230
2009-02-26,332.41,341.41,330.29,337.82,94015664
2009-02-27,334.65,334.65,323.85,330.22,96526393
2009-03-02,328.23,328.38,317.82,318.94,72976213
2009-03-03,320.48,321.95,315.23,316.97,68133080
2009-03-04,319.58,333.35,319.39,333.35,87584814
2009-03-05,330.45,330.66,317.02,317.02,81734042
2009-03-06,317,322.37,312.25,313.89,80378931
2009-03-09,314.12,316.31,307.78,315.29,64962429
2009-03-10,318.09,332.47,314.41,331.3,103702460
2009-03-11,330.04,339.72,326.61,333.79,92680761
2009-03-12,331.91,338.12,325.09,337.04,86605614
2009-03-13,339.44,345.02,335.98,337.27,77670662
2009-03-16,337.18,346.25,337.18,344.93,67630911
2009-03-17,343.34,344.61,337.11,340.17,73066297
2009-03-18,342.54,346.39,336.76,340.37,69302864
2009-03-19,342.27,351.38,341.08,344.05,107341471
2009-03-20,341.19,346.97,340.77,346.09,154171756
2009-03-23,348.18,355.29,347.84,354.7,79681866
2009-03-24,357.92,359.62,352.87,355.64,80171383
2009-03-25,354.86,361.63,352.16,359.18,79481680
2009-03-26,359.28,362.54,358.31,362.54,76198434
2009-03-27,362.2,363.51,354.52,358.37,78148050
2009-03-30,355.88,355.88,341.11,341.11,70106214
2009-03-31,342.79,349.24,342.67,348.98,65184489
2009-04-01,348.48,354.51,342.13,353.37,69900049
2009-04-02,356.59,375.77,356.36,374.37,116431918
2009-04-03,371.78,380.64,370.73,374.78,97117218
2009-04-06,378.11,381.54,369.4,372.81,85156011
2009-04-07,374.75,375.41,366.42,370.07,66918866
2009-04-08,367.35,374.58,362.59,373.31,68066788
2009-04-09,376.51,386.11,375.43,385.04,76341464
2009-04-14,385.24,392.82,383.17,390.99,83007380
2009-04-15,388.13,391.11,385.37,390.38,63074418
2009-04-16,392.49,398.36,389.35,395.54,70329333
2009-04-17,396.58,401.93,394.62,401.92,113312848
2009-04-20,399.94,401.39,384.53,385.57,89201294
2009-04-21,386.43,390.14,377.86,386.82,107647613
2009-04-22,386.83,394.73,383.68,394.73,105608238
2009-04-23,391.76,396.4,389.54,390.73,99814468
2009-04-24,392.2,402.02,391.8,402.02,87188082
2009-04-27,397.59,404.11,393.44,402.95,80636012
2009-04-28,400,400.12,390.48,395.27,91964615
2009-04-29,395.79,404.73,395.79,403.55,102686652
2009-04-30,405.66,415.07,405.09,409.86,125231741
2009-05-04,411.46,421.78,411.3,421.5,77362921
2009-05-05,421.62,424,417.41,418.23,96402648
2009-05-06,416.87,425.93,416.87,420.94,108400071
2009-05-07,422.55,428.71,413.65,414.39,125127896
2009-05-08,418.46,426.92,418.15,422.84,98493394
2009-05-11,422.85,422.85,414.81,417.4,82024875
2009-05-12,414.87,422.25,413.36,416.13,91269842
2009-05-13,417.62,418.38,403.94,404.92,109770012
2009-05-14,405.12,406.99,399.29,406.74,87570449
2009-05-15,409.39,409.74,403.22,407.77,96609633
2009-05-18,403.97,417.46,401.45,417.09,81044486
2009-05-19,420.49,429.56,419.68,426.36,107993987
2009-05-20,426.23,434.98,425.73,433.41,98432068
2009-05-21,428.68,429.16,420.18,421.95,56723479
2009-05-22,423.28,427.11,419.24,423.53,56688179
2009-05-25,425.16,425.37,416.15,423.18,38252914
2009-05-26,420.29,428.6,413.36,427.97,73541461
2009-05-27,429.81,432.28,426.81,429.77,71180004
2009-05-28,425.19,427.86,420.02,423.83,65465737
2009-05-29,427.96,429.8,423.68,424.44,82950764
2009-06-01,428.5,442.2,428.47,441.3,63916863
2009-06-02,439.29,444.32,437.85,441.84,75074634
2009-06-03,442.95,442.95,432.77,434.36,64551942
2009-06-04,435.57,439.74,433.63,435.25,66746766
2009-06-05,438.7,443.03,434.61,436.43,73501269
2009-06-08,434.97,434.97,428.27,430.11,60512558
2009-06-09,432.36,434.98,428.34,429.53,59870100
2009-06-10,434.3,441.05,433.35,434.57,68530830
2009-06-11,433.83,440.13,433.83,439.32,49598185
2009-06-12,438.4,439.66,434.67,436.31,57261835
2009-06-15,433.29,433.29,421.47,421.59,68314300
2009-06-16,422.43,424.41,419.52,421.05,61423986
2009-06-17,420.77,420.77,409.87,412.7,89919539
2009-06-18,413.87,417.19,410.29,415.78,76386054
2009-06-19,416.21,419.4,414.26,416.32,156099459
2009-06-22,416.59,417.01,403.77,403.77,74535703
2009-06-23,402.96,408.56,402.2,405.08,68549092
2009-06-24,407.42,416.45,404.68,416.06,68432401
2009-06-25,415.01,415.86,407.04,413.4,62447366
2009-06-26,414.91,419.04,410.04,411.67,59761897
2009-06-29,410.77,421.65,410.77,420.57,56663905
2009-06-30,421.51,422.5,413.88,415.07,62073463
2009-07-01,416.66,424.63,416.66,422.94,62870209
2009-07-02,420.68,420.92,408.37,408.37,67550077
2009-07-03,410.2,410.56,405.31,406.98,41438672
2009-07-06,404.05,404.44,399.09,401.96,50756597
2009-07-07,403.73,405.92,397.04,397.54,53902802
2009-07-08,396.93,399.84,394.24,395.31,59297997
2009-07-09,397.87,403.15,397.6,400.06,55304755
2009-07-10,398.12,400.92,395.26,395.67,54259166
2009-07-13,394.18,407.74,391.91,407.74,61556463
2009-07-14,408.89,414.36,406.9,413.06,69536023
2009-07-15,415.44,425.38,415.44,425.38,77551565
2009-07-16,424.43,431.2,423.6,427.99,73839332
2009-07-17,430.32,432.65,428,429.42,72785038
2009-07-20,432.45,436.07,431.53,433.37,59737020
2009-07-21,434.49,442.63,433.49,439.07,64848026
2009-07-22,439.56,441.61,435.06,440.8,66403231
2009-07-23,441.86,451.28,439.57,450.49,76925577
2009-07-24,449.36,454.61,446.8,449.1,78171324
2009-07-27,453.38,455.13,447.71,450.34,66617094
2009-07-28,452.07,454.25,443.51,443.54,84605110
2009-07-29,442.48,454.05,442.48,451.09,81168759
2009-07-30,453.01,461.59,449.95,458.95,98662548
2009-07-31,458.05,460.59,454.87,457.15,83153209
2009-08-03,455.62,467.85,455.62,465.29,75989038
2009-08-04,464.26,465.29,460.15,464.57,68699830
2009-08-05,463.56,468.06,458.51,459.92,79598285
2009-08-06,463.32,465.6,459.2,461.58,74620922
2009-08-07,460.47,469.99,456.51,468.51,81230837
2009-08-10,467.71,467.71,463.31,465.47,54660198
2009-08-11,465.99,468.38,454.02,454.93,74413659
2009-08-12,454.73,461.43,452.65,460.56,65610962
2009-08-13,461.99,469.75,461.82,465.49,76906559
2009-08-14,465.67,469.31,457.43,459.05,78632346
2009-08-17,457.26,457.26,448.47,450.02,74689877
2009-08-18,452.14,454.59,450.38,454.59,52510578
2009-08-19,450.69,455.29,447.44,454.05,64671425
2009-08-20,457.35,461.75,457.26,460.66,61648885
2009-08-21,459.38,473.91,459.23,472.82,100469066
2009-08-24,474.59,478.38,474.59,477.55,64358212
2009-08-25,475.11,482.07,473.74,480.66,72181749
2009-08-26,479.03,482.26,475.9,477.67,70202203
2009-08-27,476.45,479.07,470.52,473.45,70250496
2009-08-28,476.19,482.23,476.19,477.91,66026132
2009-08-31,474.5,475.62,471.45,473.16,57234039
2009-09-01,475.1,476.58,461.59,461.59,84883820
2009-09-02,461.66,462.01,455.72,460.3,81308262
2009-09-03,461.47,464.91,458.3,460.07,70457651
2009-09-04,461.9,468.33,461.9,467.21,73376825
2009-09-07,469.12,474.96,469.12,474.27,61388106
2009-09-08,475.75,477.65,474.05,476.11,66716905
2009-09-09,474.62,483.6,473.89,483.56,90811193
2009-09-10,485.45,488.14,482.08,485.28,96330354
2009-09-11,486.47,489.73,486.47,487.92,77418030
2009-09-14,485.84,487.36,480.07,487.18,70749116
2009-09-15,487.97,490.37,485.29,488.98,78750020
2009-09-16,490.19,496.51,490.19,495.48,95503098
2009-09-17,497.92,499.53,495.99,498.14,102006488
